epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,311.816,0.59815,0.88433,0.53985,0.9232,0.95767,0.8885,0.9469,0.85568,0.95548,0.90937,0.95196,0.81501,0.42291,0.74142,0.42844,0.83813,0.0005545,0.0005545,0.0005545
47,318.419,0.59506,0.86324,0.54872,0.91334,0.95249,0.90863,0.94719,0.85285,0.95566,0.91165,0.94883,0.81564,0.43557,0.74007,0.43657,0.82652,0.0005446,0.0005446,0.0005446
48,325.035,0.58898,0.85368,0.52423,0.91807,0.97377,0.89713,0.94923,0.86546,0.9648,0.90634,0.94716,0.82669,0.42218,0.71684,0.41081,0.82615,0.0005347,0.0005347,0.0005347
49,331.631,0.60848,0.91606,0.54328,0.91939,0.95568,0.91239,0.9512,0.85811,0.95595,0.91784,0.95494,0.82469,0.4282,0.71347,0.39847,0.82626,0.0005248,0.0005248,0.0005248
50,338.24,0.56323,0.84501,0.50553,0.90154,0.95739,0.90634,0.9501,0.87123,0.9639,0.91239,0.95541,0.82347,0.40299,0.65982,0.40356,0.81908,0.0005149,0.0005149,0.0005149
51,344.835,0.58572,0.87057,0.52941,0.9119,0.94029,0.90392,0.948,0.86464,0.93715,0.9009,0.94811,0.8147,0.40882,0.67441,0.41094,0.82404,0.000505,0.000505,0.000505
52,351.467,0.6241,0.89603,0.56332,0.91952,0.93594,0.90634,0.94295,0.86597,0.93282,0.90332,0.94322,0.82462,0.39212,0.63858,0.41564,0.82364,0.0004951,0.0004951,0.0004951
53,358.101,0.59283,0.86209,0.51979,0.92145,0.94625,0.90634,0.94622,0.85645,0.94622,0.89728,0.94667,0.81864,0.44427,0.6733,0.42737,0.82993,0.0004852,0.0004852,0.0004852
54,364.866,0.58139,0.84933,0.52646,0.90354,0.94374,0.91218,0.94631,0.86279,0.94685,0.91502,0.94601,0.81408,0.41175,0.67281,0.40453,0.82543,0.0004753,0.0004753,0.0004753
1,29.9678,0.83359,1.59058,1.96772,1.04566,0.90366,0.56568,0.74577,0.5867,0.46483,0.29235,0.21868,0.083,0.83828,31.8444,1.93655,0.93811,0.0676111,0.00032716,0.00032716
2,57.872,0.71597,1.15693,0.79197,0.97748,0.94197,0.84352,0.90223,0.77654,0.93858,0.84688,0.89855,0.69924,0.58437,1.27991,0.91637,0.84926,0.0346046,0.000653955,0.000653955
