epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,26.3634,0.26773,0.2886,0.81186,0.97195,1,0.9945,0.94749,0.33957,0.27771,0.87853,0.0007624,0.0007624,0.0007624
26,27.3932,0.26699,0.28487,0.80864,0.98223,1,0.995,0.95243,0.30901,0.27815,0.83893,0.0007525,0.0007525,0.0007525
27,28.4184,0.2618,0.28437,0.81508,0.97321,1,0.9925,0.9471,0.27502,0.29662,0.81153,0.0007426,0.0007426,0.0007426
28,29.4608,0.27426,0.29896,0.81689,0.97358,1,0.992,0.95547,0.30429,0.27567,0.8382,0.0007327,0.0007327,0.0007327
29,30.4925,0.27253,0.27821,0.81042,0.97499,0.99978,0.9925,0.96104,0.29282,0.28533,0.84655,0.0007228,0.0007228,0.0007228
30,31.5339,0.26323,0.27712,0.82251,0.97499,0.9996,0.9945,0.9542,0.31962,0.2856,0.86944,0.0007129,0.0007129,0.0007129
31,32.564,0.26803,0.28128,0.81392,0.97497,0.99867,0.9945,0.95226,0.34044,0.2869,0.88671,0.000703,0.000703,0.000703
32,33.6033,0.24577,0.26002,0.81626,0.97483,0.99328,0.992,0.95502,0.29499,0.27172,0.84257,0.0006931,0.0006931,0.0006931
33,34.6285,0.24451,0.26815,0.8031,0.97429,0.97171,0.99058,0.94272,0.31415,0.26889,0.8587,0.0006832,0.0006832,0.0006832
34,35.6564,0.25199,0.27259,0.81147,0.97102,0.97436,0.98977,0.93674,0.31666,0.25625,0.85481,0.0006733,0.0006733,0.0006733
35,36.6881,0.25201,0.27637,0.81872,0.97489,0.99554,0.992,0.93316,0.30054,0.26625,0.84377,0.0006634,0.0006634,0.0006634
36,37.7242,0.23683,0.25858,0.80224,0.94554,1,0.99072,0.94839,0.29727,0.26263,0.84793,0.0006535,0.0006535,0.0006535
37,38.7508,0.26085,0.27489,0.82153,0.97483,0.99331,0.992,0.94767,0.32072,0.23926,0.85663,0.0006436,0.0006436,0.0006436
38,39.7817,0.2514,0.26724,0.81934,0.97499,0.99946,0.99325,0.95474,0.31177,0.26004,0.84887,0.0006337,0.0006337,0.0006337
39,40.8108,0.25584,0.2611,0.80874,0.97427,0.97116,0.9928,0.95028,0.31612,0.24099,0.85675,0.0006238,0.0006238,0.0006238
1,0.539543,1.19508,3.82617,1.27231,0.00444,0.85714,0.00891,0.00585,1.16599,3.40442,1.45242,0.09901,1e-05,1e-05
2,0.914931,1.00472,3.59882,1.21075,0.00407,0.78571,0.0084,0.00548,1.19245,3.39998,1.47001,0.0970297,2.9703e-05,2.9703e-05
3,1.26044,1.06635,3.62245,1.23287,0.00481,0.92857,0.02571,0.0185,1.1426,3.26276,1.46901,0.095049,4.901e-05,4.901e-05
4,1.59698,1.06691,3.39259,1.16929,0.00481,0.92857,0.0233,0.0163,1.32565,3.1894,1.56096,0.0930679,6.7921e-05,6.7921e-05
5,1.93504,1.19261,3.13349,1.27739,0.00519,1,0.48901,0.22808,1.45347,3.2375,1.67304,0.0910864,8.6436e-05,8.6436e-05
6,2.2705,1.09421,2.58496,1.19625,0.00519,1,0.55639,0.3269,1.3965,3.13848,1.57997,0.0891046,0.000104555,0.000104555
7,2.60704,1.02872,2.07995,1.12455,0.00519,1,0.52765,0.3079,1.49353,3.26054,1.61769,0.0871223,0.000122278,0.000122278
8,2.93743,1.10605,1.8994,1.20865,0.00519,1,0.24411,0.18478,1.66284,3.17682,1.6791,0.0851396,0.000139605,0.000139605
9,3.2594,1.01945,1.38624,1.19394,0.00481,0.92857,0.18241,0.1374,1.872,3.3485,1.7857,0.0831565,0.000156536,0.000156536
10,3.58368,0.96683,1.19931,1.10021,0.00519,1,0.18392,0.12476,1.98945,3.42613,1.85838,0.0811731,0.000173071,0.000173071
11,3.90402,1.04202,1.27135,1.22324,0.00519,1,0.16744,0.11205,1.99752,3.50531,1.87732,0.0791892,0.00018921,0.00018921
12,4.22573,0.92122,1.09025,1.02758,0.00481,0.92857,0.15621,0.11398,2.02022,3.49144,1.85896,0.077205,0.000204953,0.000204953
13,4.54577,1.10916,1.217,1.15059,0.00481,0.92857,0.15418,0.11269,1.88747,3.28205,1.77192,0.0752203,0.0002203,0.0002203
14,4.86837,0.97623,1.07182,1.14373,0.00481,0.92857,0.15275,0.1058,1.81372,3.34631,1.727,0.0732353,0.000235251,0.000235251
15,5.20351,0.82571,1.01308,1.05423,0.00481,0.92857,0.11694,0.0921,1.85318,3.46757,1.78294,0.0712498,0.000249806,0.000249806
16,5.53359,1.09935,1.17038,1.26305,0.00667,0.85714,0.0923,0.0771,1.87187,3.56292,1.77575,0.069264,0.000263965,0.000263965
1,1.43737,0.98335,2.97682,1.09984,0.00403,0.93548,0.22204,0.15509,1.06059,3.19304,1.17256,0.08812,0.00012,0.00012
2,2.5502,0.99538,1.31555,1.08114,0.06296,0.82258,0.6184,0.3884,1.29125,3.42818,1.18089,0.0752475,0.000247525,0.000247525
3,3.63244,0.90917,1.05082,1.0795,0.71429,0.72581,0.70924,0.51507,0.93441,3.59594,1.02133,0.0623725,0.000372476,0.000372476
4,4.6871,0.88269,0.80722,1.07292,0.66234,0.82258,0.8029,0.68198,0.86742,3.27587,1.06723,0.0494949,0.000494853,0.000494853
5,5.72964,0.85165,0.75419,1.03878,0.8,0.90323,0.93009,0.77873,0.84676,2.69055,1.05965,0.0366147,0.000614656,0.000614656
6,6.77951,0.84395,0.79218,1.06675,0.96299,0.83932,0.93568,0.79105,0.84291,1.70285,1.05927,0.0237319,0.000731885,0.000731885
7,7.82385,0.8586,0.71702,1.05159,1,0.87478,0.92799,0.76802,0.85579,1.45721,1.06194,0.0108465,0.00084654,0.00084654
8,8.86766,0.819,0.69548,1.01285,0.94737,0.87097,0.91978,0.74535,0.85774,0.82947,1.09032,0.0009307,0.0009307,0.0009307
9,9.90633,0.82014,0.67035,1.01011,0.95302,0.85484,0.92469,0.75399,0.82624,0.80987,1.06893,0.0009208,0.0009208,0.0009208
10,10.9379,0.85764,0.73325,1.05568,0.92783,0.82956,0.93364,0.77105,0.85904,0.86349,1.07835,0.0009109,0.0009109,0.0009109
11,11.9671,0.80411,0.65871,1.03511,1,0.83397,0.93342,0.78876,0.76569,0.8626,1.03771,0.000901,0.000901,0.000901
12,13.0124,0.77507,0.59718,0.99569,1,0.91736,0.9573,0.79497,0.76831,0.55438,1.02702,0.0008911,0.0008911,0.0008911
13,14.0556,0.74408,0.59328,1.00847,0.98275,0.91902,0.95779,0.77142,0.75194,0.60756,1.02407,0.0008812,0.0008812,0.0008812
14,15.0834,0.72846,0.57329,0.98569,0.98072,0.91935,0.95227,0.76245,0.75495,0.55229,1.00601,0.0008713,0.0008713,0.0008713
15,16.1229,0.8243,0.64531,1.03605,0.98245,0.9031,0.94553,0.76961,0.74096,0.54228,0.99862,0.0008614,0.0008614,0.0008614
16,17.1724,0.72629,0.57465,0.99684,1,0.91833,0.94877,0.80024,0.69317,0.50538,0.98319,0.0008515,0.0008515,0.0008515
17,18.2488,0.75864,0.5683,1.01026,1,0.91153,0.9518,0.81403,0.71199,0.54628,0.99258,0.0008416,0.0008416,0.0008416
18,19.3349,0.7345,0.55917,0.98229,0.97515,0.93548,0.95805,0.8011,0.77544,0.53006,1.0242,0.0008317,0.0008317,0.0008317
19,20.3733,0.75376,0.58947,0.97983,0.96711,0.94862,0.96289,0.80675,0.71464,0.53457,0.98114,0.0008218,0.0008218,0.0008218
20,21.4234,0.76945,0.539,0.99828,0.983,0.93282,0.96192,0.79535,0.75478,0.53409,1.01698,0.0008119,0.0008119,0.0008119
21,22.4657,0.76207,0.56057,1.00663,0.99832,0.91935,0.96229,0.80212,0.73208,0.51919,1.02628,0.000802,0.000802,0.000802
22,23.5059,0.7153,0.51569,0.97845,0.96123,0.93548,0.95133,0.80199,0.75498,0.51854,1.02772,0.0007921,0.0007921,0.0007921
23,24.5416,0.76745,0.5423,0.98354,0.96657,0.93265,0.95421,0.77502,0.77247,0.48338,1.01443,0.0007822,0.0007822,0.0007822
24,25.5908,0.75178,0.52497,0.9929,1,0.91836,0.95554,0.79329,0.69634,0.54295,0.96609,0.0007723,0.0007723,0.0007723
25,26.6255,0.73792,0.50627,1.00012,0.99739,0.91935,0.95153,0.79983,0.71671,0.5371,0.97555,0.0007624,0.0007624,0.0007624
26,27.6628,0.6985,0.51139,0.97334,0.99879,0.91935,0.94081,0.79859,0.72335,0.5521,0.98084,0.0007525,0.0007525,0.0007525
27,28.6955,0.68377,0.51884,0.97203,0.99394,0.91935,0.94973,0.80647,0.72087,0.52306,0.98423,0.0007426,0.0007426,0.0007426
1,1.5241,0.87892,2.83968,1.04577,0.0039,0.93939,0.19634,0.14097,1.24528,3.35879,1.33778,0.08713,0.00013,0.00013
2,2.70092,0.86456,1.16978,1.02958,0.02111,0.40909,0.18462,0.14457,1.2557,3.52143,1.41662,0.0732673,0.000267327,0.000267327
3,3.85807,0.84941,0.95678,1.08969,0.975,0.59091,0.78618,0.6939,0.94085,3.45886,1.18714,0.0594019,0.000401882,0.000401882
4,4.99134,0.81553,0.77431,1.0174,0.91489,0.65152,0.79799,0.66951,0.88226,3.47986,1.14161,0.0455337,0.000533665,0.000533665
5,6.12667,0.8069,0.73944,1.01077,1,0.62088,0.84739,0.69534,0.84051,2.01442,1.08495,0.0316627,0.000662676,0.000662676
6,7.31527,0.79651,0.72508,1.02564,0.95889,0.66667,0.81857,0.69154,0.79293,1.20926,1.08069,0.0177889,0.000788915,0.000788915
7,8.44154,0.7472,0.69145,1.00026,0.93022,0.80802,0.8792,0.74808,0.76472,0.88498,1.09655,0.00391238,0.000912382,0.000912382
8,9.59024,0.77009,0.66407,0.98939,0.98205,0.829,0.89296,0.76929,0.77387,0.66037,1.08347,0.0009307,0.0009307,0.0009307
9,10.7433,0.75507,0.6228,1.00773,0.91521,0.81774,0.83917,0.70611,0.86913,0.81413,1.13502,0.0009208,0.0009208,0.0009208
10,11.8703,0.71785,0.58792,0.99909,0.96226,0.77273,0.84585,0.69385,0.80039,0.71216,1.08559,0.0009109,0.0009109,0.0009109
11,12.993,0.72952,0.57801,0.97161,0.94629,0.83333,0.8796,0.71429,0.79127,0.64194,1.08521,0.000901,0.000901,0.000901
12,14.1182,0.71331,0.57268,0.98929,0.96108,0.84848,0.88915,0.73258,0.80845,0.61629,1.09005,0.0008911,0.0008911,0.0008911
13,15.2407,0.68554,0.54896,0.97425,0.96647,0.8734,0.89151,0.73229,0.79165,0.57661,1.06205,0.0008812,0.0008812,0.0008812
14,16.383,0.77062,0.57856,1.03206,0.94705,0.89394,0.91955,0.76996,0.74158,0.55478,1.01752,0.0008713,0.0008713,0.0008713
15,17.5226,0.70787,0.52224,0.98179,0.92355,0.9152,0.92739,0.78213,0.71025,0.54769,0.98853,0.0008614,0.0008614,0.0008614
16,18.6835,0.6711,0.51583,0.97034,0.96102,0.90909,0.92477,0.76907,0.74054,0.53611,0.99399,0.0008515,0.0008515,0.0008515
17,19.8126,0.67844,0.51495,0.96577,0.94554,0.89394,0.91338,0.77841,0.73595,0.56765,1.03348,0.0008416,0.0008416,0.0008416
18,20.9577,0.64285,0.49526,0.93575,0.95143,0.89052,0.90265,0.74714,0.76172,0.5418,1.06037,0.0008317,0.0008317,0.0008317
19,22.0927,0.6489,0.53686,0.93336,0.96377,0.84848,0.89564,0.73042,0.76846,0.55042,1.09329,0.0008218,0.0008218,0.0008218
20,23.2335,0.67693,0.52242,0.99492,0.96591,0.86364,0.90283,0.74509,0.83778,0.57688,1.082,0.0008119,0.0008119,0.0008119
21,24.3749,0.68128,0.52389,0.98312,0.947,0.87879,0.89323,0.74983,0.81306,0.54202,1.06854,0.000802,0.000802,0.000802
22,25.5135,0.65482,0.49616,0.96562,0.96819,0.92228,0.90714,0.76619,0.75298,0.50821,1.08419,0.0007921,0.0007921,0.0007921
23,26.6525,0.62789,0.46984,0.96429,0.96748,0.9015,0.91332,0.7718,0.77264,0.49728,1.09603,0.0007822,0.0007822,0.0007822
24,27.8023,0.64375,0.47409,0.9351,0.95209,0.90332,0.89338,0.75663,0.77866,0.52774,1.09071,0.0007723,0.0007723,0.0007723
